claim_id,product_id,product_category,product_name,serial_number,purchase_date,purchase_price,warranty_start_date,warranty_duration_days,warranty_expiry_date,fault_occurrence_date,fault_type,fault_description,damage_type,claim_submission_date,product_age_days,has_receipt,has_warranty_card,has_product_image,serial_number_match,repair_count,repair_authorized,previous_replacement,is_duplicate_claim,class_label
CLM-00340,PRD-00340,Appliances,Dishwasher,SN-DA24F47A8E,2023-02-26,1182.01,2023-02-26,730,2025-02-25,2023-05-03,Motor Failure,Motor Failure reported by customer during normal use.,Manufacturing Defect,2023-05-05,68,True,True,True,True,0,True,False,False,Valid
CLM-00424,PRD-00424,Appliances,Microwave Oven,SN-9327C8B7BB,2023-11-16,2118.58,2023-11-16,730,2025-11-15,2025-07-23,Drainage Issue,Drainage Issue reported by customer during normal use.,Structural Damage,2025-07-27,619,True,True,True,True,1,True,False,False,Valid
CLM-00429,PRD-00429,Furniture,Dining Table,SN-060531F7E1,2022-08-25,1349.39,2022-08-25,1095,2025-08-24,2025-05-10,Material Defect,Material Defect reported by customer during normal use.,Structural Damage,2025-05-15,994,True,True,True,True,0,True,False,False,Valid
CLM-01106,PRD-01106,Electronics,Television,SN-D1154EB0CF,2025-09-07,499.26,2025-09-07,730,2027-09-07,2026-12-05,Overheating,Overheating reported by customer.,Manufacturing Defect,2026-12-08,457,True,True,True,True,3,False,False,False,ManualReview
CLM-00077,PRD-00077,Electronics,Laptop,SN-610432682B,2024-03-05,1825.23,2024-03-05,730,2026-03-05,2025-01-05,Battery Failure,Battery Failure reported by customer during normal use.,Manufacturing Defect,2025-01-07,308,True,True,True,True,1,True,False,False,Valid
CLM-01392,PRD-01392,Appliances,Washing Machine,SN-1B1C8CC856,2024-10-15,1440.11,2024-10-15,730,2026-10-15,2026-08-03,Compressor Fault,Compressor Fault reported by customer.,Accidental Damage,2026-08-07,661,True,True,True,True,0,True,False,True,ManualReview
CLM-00440,PRD-00440,Electronics,Smartphone,SN-DC3FDCF85F,2023-08-07,1850.94,2023-08-07,365,2024-08-06,2024-03-15,Screen Malfunction,Screen Malfunction reported by customer during normal use.,Electrical Fault,2024-03-18,224,True,True,True,True,0,True,False,False,Valid
CLM-01337,PRD-01337,Furniture,Bed Frame,SN-25618EDD88,2025-12-31,314.1,2025-12-31,365,2026-12-31,2026-05-04,Structural Frame Defect,Structural Frame Defect reported by customer.,Structural Damage,2026-05-07,127,True,True,False,True,0,True,False,False,ManualReview
CLM-00865,PRD-00865,Electronics,Tablet,SN-9CC3A20B52,2023-06-17,852.82,2023-06-17,730,2025-06-16,2024-11-18,Battery Failure,Battery Failure reported by customer.,Cosmetic Damage,2024-11-23,525,True,True,True,False,0,True,False,False,Invalid
CLM-01081,PRD-01081,Electronics,Smartphone,SN-B1956504C1,2024-04-14,1792.88,2024-04-14,730,2026-04-14,2026-03-30,Battery Failure,Battery Failure reported by customer.,Structural Damage,2026-03-31,716,True,True,True,True,1,False,False,False,ManualReview
CLM-00355,PRD-00355,Appliances,Microwave Oven,SN-105B77E22C,2023-05-23,2440.86,2023-05-23,1095,2026-05-22,2025-03-05,Thermostat Malfunction,Thermostat Malfunction reported by customer during normal use.,Cosmetic Damage,2025-03-07,654,True,True,True,True,1,True,False,False,Valid
CLM-00366,PRD-00366,Electronics,Television,SN-B634BF935C,2025-01-08,264.69,2025-01-08,365,2026-01-08,2025-01-24,Screen Malfunction,Screen Malfunction reported by customer during normal use.,Wear and Tear,2025-01-26,18,True,True,True,True,1,True,False,False,Valid
CLM-00310,PRD-00310,Appliances,Refrigerator,SN-0E73D9EE60,2023-01-09,610.92,2023-01-09,1095,2026-01-08,2023-08-10,Motor Failure,Motor Failure reported by customer during normal use.,Cosmetic Damage,2023-08-13,216,True,True,True,True,0,True,False,False,Valid
CLM-00737,PRD-00737,Furniture,Office Chair,SN-7EE350720E,2026-05-06,1372.87,2026-05-06,1095,2029-05-05,2029-03-27,Joint/Hinge Failure,Joint/Hinge Failure reported by customer.,Electrical Fault,2029-03-31,1060,True,True,True,True,0,True,True,False,Invalid
CLM-00999,PRD-00999,Appliances,Dishwasher,SN-72202C5BE7,2024-06-11,2463.89,2024-06-11,1095,2027-06-11,2026-01-07,Rust/Corrosion,Rust/Corrosion - not covered under warranty terms.,Accidental Damage,2026-01-09,577,True,True,True,True,0,True,False,False,Invalid
CLM-00622,PRD-00622,Appliances,Refrigerator,SN-C831AB0B38,2025-09-27,992.26,2025-09-27,730,2027-09-27,2027-08-17,Power Surge Damage,Power Surge Damage - not covered under warranty terms.,Electrical Fault,2027-08-19,691,True,True,True,True,1,True,False,False,Invalid
CLM-00544,PRD-00544,Electronics,Tablet,SN-8386F89A50,2025-10-27,1582.05,2025-10-27,365,2026-10-27,2026-09-18,Screen Malfunction,Screen Malfunction reported by customer.,Structural Damage,2026-09-23,331,True,True,True,True,0,True,True,False,Invalid
CLM-01141,PRD-01141,Electronics,Tablet,SN-BBED506A5B,2024-05-02,1867.68,2024-05-02,365,2025-05-02,2025-04-29,Battery Failure,Battery Failure reported by customer.,Manufacturing Defect,2025-05-02,365,True,True,True,True,0,True,False,False,ManualReview
CLM-01297,PRD-01297,Furniture,Sofa,SN-F22E219C9F,2023-04-18,1623.49,2023-04-18,365,2024-04-17,2024-01-17,Structural Frame Defect,"Minor issue, hard to describe",Electrical Fault,2024-01-18,275,True,True,True,True,1,True,False,False,ManualReview
CLM-00555,PRD-00555,Electronics,Television,SN-FC170F5337,2025-04-17,1450.03,2025-04-17,365,2026-04-17,2025-05-31,Charging Port Issue,Charging Port Issue reported by customer.,Structural Damage,2025-06-04,48,True,True,True,True,0,True,True,False,Invalid
CLM-00680,PRD-00680,Electronics,Headphones,SN-1AE9466BC8,2025-02-27,1571.33,2025-02-27,730,2027-02-27,2025-05-21,Screen Malfunction,Screen Malfunction reported by customer.,Wear and Tear,2025-05-25,87,True,True,True,True,0,True,True,False,Invalid
CLM-00050,PRD-00050,Appliances,Dishwasher,SN-3B19A0A840,2023-02-24,2055.14,2023-02-24,1095,2026-02-23,2024-06-01,Electrical Short Circuit,Electrical Short Circuit reported by customer during normal use.,Cosmetic Damage,2024-06-03,465,True,True,True,True,0,True,False,False,Valid
CLM-00491,PRD-00491,Furniture,Dining Table,SN-AE0426F38D,2026-05-28,138.35,2026-05-28,365,2027-05-28,2026-08-20,Structural Frame Defect,Structural Frame Defect reported by customer during normal use.,Cosmetic Damage,2026-08-21,85,True,True,True,True,0,True,False,False,Valid
CLM-00317,PRD-00317,Electronics,Headphones,SN-674A5FDD73,2024-09-03,1388.57,2024-09-03,730,2026-09-03,2024-09-20,Screen Malfunction,Screen Malfunction reported by customer during normal use.,Electrical Fault,2024-09-25,22,True,True,True,True,0,True,False,False,Valid
CLM-00905,PRD-00905,Electronics,Laptop,SN-5F10A4AFF8,2023-10-09,1623.0,2023-10-09,730,2025-10-08,2024-02-25,Charging Port Issue,Charging Port Issue reported by customer.,Cosmetic Damage,2024-02-28,142,True,True,True,True,0,True,True,False,Invalid
CLM-00637,PRD-00637,Electronics,Television,SN-40CCB25F09,2024-10-07,1712.31,2024-10-07,730,2026-10-07,2026-06-26,Software Fault,Software Fault reported by customer.,Manufacturing Defect,2026-06-29,630,True,True,True,False,0,True,False,False,Invalid
CLM-00561,PRD-00561,Electronics,Tablet,SN-F17BCA5283,2023-10-08,1388.74,2023-10-08,365,2024-10-07,2023-12-23,Overheating,Overheating reported by customer.,Structural Damage,2023-12-24,77,True,True,True,True,1,True,True,False,Invalid
CLM-00487,PRD-00487,Furniture,Dining Table,SN-A72348B2C9,2023-10-30,1295.44,2023-10-30,365,2024-10-29,2024-01-21,Structural Frame Defect,Structural Frame Defect reported by customer during normal use.,Structural Damage,2024-01-25,87,True,True,True,True,1,True,False,False,Valid
CLM-00068,PRD-00068,Electronics,Television,SN-5F4C816D0F,2026-05-02,957.9,2026-05-02,730,2028-05-01,2027-09-19,Software Fault,Software Fault reported by customer during normal use.,Manufacturing Defect,2027-09-20,506,True,True,True,True,1,True,False,False,Valid
CLM-00812,PRD-00812,Furniture,Bookshelf,SN-5850E278B6,2024-08-25,1163.06,2024-08-25,365,2025-08-25,2024-10-09,Material Defect,Material Defect reported by customer.,Cosmetic Damage,2024-10-10,46,True,True,True,True,0,True,True,False,Invalid
CLM-00494,PRD-00494,Furniture,Sofa,SN-22853DAAB5,2023-08-10,1047.48,2023-08-10,1095,2026-08-09,2026-06-07,Structural Frame Defect,Structural Frame Defect reported by customer during normal use.,Structural Damage,2026-06-10,1035,True,True,True,True,0,True,False,False,Valid
CLM-00311,PRD-00311,Appliances,Microwave Oven,SN-68177B7383,2024-10-08,1944.98,2024-10-08,730,2026-10-08,2024-12-17,Compressor Fault,Compressor Fault reported by customer during normal use.,Cosmetic Damage,2024-12-22,75,True,True,True,True,0,True,False,False,Valid
CLM-01097,PRD-01097,Furniture,Dining Table,SN-4F82EFD9B5,2025-06-01,125.72,2025-06-01,1095,2028-05-31,2026-07-03,Structural Frame Defect,Structural Frame Defect reported by customer.,Accidental Damage,2026-07-07,401,True,True,True,True,3,False,False,False,ManualReview
CLM-01248,PRD-01248,Furniture,Office Chair,SN-1420422928,2024-11-14,104.84,2024-11-14,1095,2027-11-14,2025-07-13,Material Defect,Material Defect reported by customer.,Cosmetic Damage,2025-07-15,243,True,True,False,True,1,True,False,False,ManualReview
CLM-00185,PRD-00185,Electronics,Television,SN-55DC156216,2026-07-28,1143.37,2026-07-28,730,2028-07-27,2027-02-21,Software Fault,Software Fault reported by customer during normal use.,Cosmetic Damage,2027-02-22,209,True,True,True,True,1,True,False,False,Valid
CLM-00307,PRD-00307,Electronics,Laptop,SN-6465B912B9,2023-07-08,2192.34,2023-07-08,730,2025-07-07,2024-03-24,Charging Port Issue,Charging Port Issue reported by customer during normal use.,Manufacturing Defect,2024-03-25,261,True,True,True,True,1,True,False,False,Valid
CLM-00853,PRD-00853,Appliances,Microwave Oven,SN-A5576BC729,2025-04-28,1825.33,2025-04-28,1095,2028-04-27,2025-07-31,Improper Installation Damage,Improper Installation Damage - not covered under warranty terms.,Wear and Tear,2025-08-01,95,True,True,True,True,1,True,False,False,Invalid
CLM-00793,PRD-00793,Electronics,Tablet,SN-D8791E0411,2026-01-01,2140.96,2026-01-01,730,2028-01-01,2027-03-05,Software Fault,Software Fault reported by customer.,Wear and Tear,2027-03-08,431,True,True,True,False,1,True,False,False,Invalid
CLM-00290,PRD-00290,Furniture,Bed Frame,SN-6819407ABD,2025-12-20,387.77,2025-12-20,1095,2028-12-19,2028-09-11,Upholstery Tear,Upholstery Tear reported by customer during normal use.,Electrical Fault,2028-09-16,1001,True,True,True,True,1,True,False,False,Valid
CLM-00707,PRD-00707,Electronics,Headphones,SN-05714DB13A,2024-05-16,1743.07,2024-05-16,730,2026-05-16,2025-03-27,Battery Failure,Battery Failure reported by customer.,Electrical Fault,2025-03-28,316,True,True,True,False,0,True,False,False,Invalid
CLM-01330,PRD-01330,Electronics,Television,SN-6BA3D58CC7,2023-11-23,2410.23,2023-11-23,365,2024-11-22,2024-09-20,Screen Malfunction,Makes strange noise occasionally,Wear and Tear,2024-09-22,304,True,True,True,True,1,True,False,False,ManualReview
CLM-00655,PRD-00655,Appliances,Washing Machine,SN-A6EB79098C,2026-01-19,468.19,2026-01-19,1095,2029-01-18,2029-06-15,Thermostat Malfunction,Thermostat Malfunction reported by customer.,Manufacturing Defect,2029-06-20,1248,True,True,True,True,0,True,False,False,Invalid
CLM-00523,PRD-00523,Furniture,Dining Table,SN-DD44C79438,2024-03-22,1638.72,2024-03-22,1095,2027-03-22,2025-04-02,Accidental Damage,Accidental Damage - not covered under warranty terms.,Electrical Fault,2025-04-04,378,True,True,True,True,1,True,False,False,Invalid
CLM-00462,PRD-00462,Furniture,Bookshelf,SN-4740018933,2024-03-13,2153.85,2024-03-13,365,2025-03-13,2024-07-29,Upholstery Tear,Upholstery Tear reported by customer during normal use.,Structural Damage,2024-07-30,139,True,True,True,True,0,True,False,False,Valid
CLM-00931,PRD-00931,Electronics,Tablet,SN-4F6F71D6F4,2024-11-13,1861.05,2024-11-13,730,2026-11-13,2026-09-22,Software Fault,Software Fault reported by customer.,Accidental Damage,2026-09-23,679,True,True,True,True,0,True,True,False,Invalid
CLM-01035,PRD-01035,Appliances,Microwave Oven,SN-13BC29FD92,2024-12-01,2149.65,2024-12-01,1095,2027-12-01,2027-11-22,Drainage Issue,Drainage Issue reported by customer.,Electrical Fault,2027-11-25,1089,True,True,True,True,0,True,False,False,ManualReview
CLM-00030,PRD-00030,Furniture,Sofa,SN-7DA692EFBF,2024-12-22,1660.56,2024-12-22,365,2025-12-22,2025-12-01,Upholstery Tear,Upholstery Tear reported by customer during normal use.,Accidental Damage,2025-12-04,347,True,True,True,True,1,True,False,False,Valid
CLM-00241,PRD-00241,Electronics,Headphones,SN-C1D723058D,2024-03-02,199.35,2024-03-02,730,2026-03-02,2025-09-23,Software Fault,Software Fault reported by customer during normal use.,Cosmetic Damage,2025-09-27,574,True,True,True,True,0,True,False,False,Valid
CLM-00799,PRD-00799,Electronics,Tablet,SN-6E449E6D2D,2025-06-20,308.26,2025-06-20,365,2026-06-20,2025-11-17,Battery Failure,Battery Failure reported by customer.,Wear and Tear,2025-11-21,154,True,True,True,False,0,True,False,False,Invalid
CLM-00818,PRD-00818,Electronics,Tablet,SN-5BF70BA8B6,2022-11-24,2345.21,2022-11-24,730,2024-11-23,2024-04-11,Water Damage,Water Damage - not covered under warranty terms.,Accidental Damage,2024-04-12,505,True,True,True,True,1,True,False,False,Invalid
CLM-00066,PRD-00066,Electronics,Television,SN-7D943C1C36,2025-11-14,112.91,2025-11-14,365,2026-11-14,2026-06-08,Software Fault,Software Fault reported by customer during normal use.,Structural Damage,2026-06-10,208,True,True,True,True,1,True,False,False,Valid
CLM-00602,PRD-00602,Furniture,Bookshelf,SN-2DFF17B663,2024-06-17,401.07,2024-06-17,1095,2027-06-17,2024-08-31,Accidental Damage,Accidental Damage - not covered under warranty terms.,Structural Damage,2024-09-04,79,True,True,True,True,0,True,False,False,Invalid
CLM-00925,PRD-00925,Electronics,Headphones,SN-1DC6054ABE,2024-03-05,207.44,2024-03-05,365,2025-03-05,2024-11-12,Physical Impact Damage,Physical Impact Damage - not covered under warranty terms.,Structural Damage,2024-11-13,253,True,True,True,True,0,True,False,False,Invalid
CLM-00755,PRD-00755,Electronics,Smartphone,SN-AA0AC3D3FB,2024-09-07,495.63,2024-09-07,730,2026-09-07,2024-09-30,Water Damage,Water Damage - not covered under warranty terms.,Structural Damage,2024-10-05,28,True,True,True,True,1,True,False,False,Invalid
CLM-00927,PRD-00927,Furniture,Bookshelf,SN-D5F72F1AC8,2025-05-08,1209.42,2025-05-08,1095,2028-05-07,2027-06-08,Joint/Hinge Failure,Joint/Hinge Failure reported by customer.,Structural Damage,2027-06-11,764,True,True,True,True,1,True,True,False,Invalid
CLM-01102,PRD-01102,Furniture,Sofa,SN-C40190D81D,2024-01-13,387.41,2024-01-13,365,2025-01-12,2024-02-28,Upholstery Tear,Upholstery Tear reported by customer.,Structural Damage,2024-03-02,49,True,True,True,True,1,True,False,True,ManualReview
CLM-00248,PRD-00248,Electronics,Tablet,SN-29992B3DB8,2024-03-18,982.62,2024-03-18,730,2026-03-18,2025-03-21,Charging Port Issue,Charging Port Issue reported by customer during normal use.,Accidental Damage,2025-03-26,373,True,True,True,True,1,True,False,False,Valid
CLM-00278,PRD-00278,Furniture,Bed Frame,SN-3E0C607B49,2025-09-03,140.07,2025-09-03,1095,2028-09-02,2026-04-17,Structural Frame Defect,Structural Frame Defect reported by customer during normal use.,Cosmetic Damage,2026-04-19,228,True,True,True,True,1,True,False,False,Valid
CLM-01403,PRD-01403,Furniture,Sofa,SN-42A83214E6,2026-02-15,76.16,2026-02-15,365,2027-02-15,2026-10-14,Upholstery Tear,Performance seems inconsistent,Accidental Damage,2026-10-18,245,True,True,True,True,0,True,False,False,ManualReview
CLM-01067,PRD-01067,Furniture,Office Chair,SN-FDF2D97475,2026-02-12,313.52,2026-02-12,1095,2029-02-11,2028-03-22,Joint/Hinge Failure,Joint/Hinge Failure reported by customer.,Electrical Fault,2028-03-23,770,True,True,True,True,2,False,False,False,ManualReview
CLM-00480,PRD-00480,Furniture,Bookshelf,SN-1B0594236E,2026-06-06,1640.62,2026-06-06,365,2027-06-06,2027-03-05,Structural Frame Defect,Structural Frame Defect reported by customer during normal use.,Accidental Damage,2027-03-09,276,True,True,True,True,1,True,False,False,Valid
CLM-00427,PRD-00427,Appliances,Dishwasher,SN-DDCB87C311,2023-09-05,345.83,2023-09-05,730,2025-09-04,2024-03-20,Thermostat Malfunction,Thermostat Malfunction reported by customer during normal use.,Wear and Tear,2024-03-23,200,True,True,True,True,1,True,False,False,Valid
CLM-00124,PRD-00124,Electronics,Tablet,SN-ABF6177EA2,2023-08-09,319.32,2023-08-09,730,2025-08-08,2024-08-12,Screen Malfunction,Screen Malfunction reported by customer during normal use.,Wear and Tear,2024-08-14,371,True,True,True,True,0,True,False,False,Valid
CLM-01170,PRD-01170,Appliances,Microwave Oven,SN-053FBC9B40,2023-12-04,1682.76,2023-12-04,730,2025-12-03,2025-05-10,Drainage Issue,Drainage Issue reported by customer.,Manufacturing Defect,2025-05-12,525,True,True,True,True,1,False,False,False,ManualReview
CLM-00395,PRD-00395,Electronics,Headphones,SN-67C8B7A539,2026-03-08,1479.76,2026-03-08,365,2027-03-08,2026-11-23,Battery Failure,Battery Failure reported by customer during normal use.,Electrical Fault,2026-11-24,261,True,True,True,True,0,True,False,False,Valid
CLM-00986,PRD-00986,Furniture,Bed Frame,SN-C19EBCDBBC,2024-05-01,319.63,2024-05-01,365,2025-05-01,2024-09-06,Material Defect,Material Defect reported by customer.,Accidental Damage,2024-09-09,131,True,True,True,False,1,True,False,False,Invalid
